date,cas,deces
2020-03-02,191,3
2020-03-03,212,4
2020-03-04,285,4
2020-03-05,423,7
2020-03-06,613,9
2020-03-07,949,16
2020-03-08,1126,19
2020-03-09,1412,25
2020-03-10,1784,33
2020-03-11,2281,48
2020-03-12,2876,61
2020-03-13,3661,79
2020-03-14,4500,91
2020-03-15,5423,127
2020-03-16,6633,148
2020-03-17,7730,175
2020-03-18,9134,264
2020-03-19,10995,372
2020-03-20,12612,450
2020-03-21,14459,562
2020-03-22,16689,674
2020-03-23,19856,860
2020-03-24,22302,1100
2020-03-25,25233,1331
2020-03-26,29155,1696
2020-03-27,32964,1995
2020-03-28,37575,2314
2020-03-29,40174,2606
2020-03-30,44550,3024
2020-03-31,52128,3523
2020-04-01,56989,4032
2020-04-02,59105,4503
2020-04-03,64338,5091
2020-04-04,68605,5532
2020-04-05,70478,5889
2020-04-06,74390,6494
2020-04-07,78167,7091
2020-04-08,82048,7632
2020-04-09,86334,8044
2020-04-10,90676,8598
2020-04-11,93790,8943
2020-04-12,95403,9253
2020-04-13,98076,9588
2020-04-14,103573,10129
2020-04-15,106206,10643
2020-04-16,108847,11060
2020-04-17,109252,11478
2020-04-18,111821,11842
2020-04-19,112606,12069
2020-04-20,114657,12513
2020-04-21,117324,12900
2020-04-22,119151,13236
2020-04-23,120804,13547
2020-04-24,122577,13852
2020-04-25,124114,14050
2020-04-26,124575,14202
2020-04-27,128339,14497
2020-04-28,129859,14810
2020-04-29,128442,15053
2020-04-30,129581,15244
2020-05-01,130185,15369
2020-05-02,130979,15487
2020-05-03,131287,15583
2020-05-04,131863,15826
2020-05-05,132967,16060
2020-05-06,137150,16237
2020-05-07,137779,16386
2020-05-08,138421,16497
2020-05-09,138854,16573
2020-05-10,139063,16642
2020-05-11,139519,16820
2020-05-12,140227,17003
2020-05-13,140734,17101
2020-05-14,141356,17224
2020-05-15,141919,17342
2020-05-16,142291,17412
2020-05-17,142411,17466
2020-05-18,142903,17589
2020-05-19,143427,17714
2020-05-20,143845,17812
2020-05-21,144163,17870
2020-05-22,144556,17944
2020-05-23,144806,17987
2020-05-24,144921,18022
2020-05-25,145279,18112
2020-05-26,145555,18260
2020-05-27,145746,18260
2020-05-28,149071,18326
2020-05-29,149668,18387
2020-05-30,151496,18444
2020-05-31,151753,18475
2020-06-01,152091,18506
2020-06-02,151325,18590
2020-06-03,151677,18671
2020-06-04,152444,18715
2020-06-05,153055,18761
2020-06-06,153634,18792
2020-06-07,153977,18805
2020-06-08,154188,18859
2020-06-09,154591,18912
2020-06-10,155136,18935
2020-06-11,155561,18962
2020-06-12,156287,18990
2020-06-13,156813,19014
2020-06-14,157220,19023
2020-06-15,157372,19052
2020-06-16,157716,19090
2020-06-17,158174,19118
2020-06-18,158641,19146
